id,display_name,eye,nhle,lidar,delta_vs_nhle,delta_vs_lidar,cluster,flag,note
SU14SW129,Normanton Down 2,89.0,66.8,43.2,22.2,45.8,Stonehenge / Salisbury Plain,eye_differs_both_gt15,
SU06NE106,Easton Down,76.5,143.5,43.7,67.0,32.8,Avebury / Pewsey,eye_differs_both_gt15,
