id,display_name,status,barrow_type,cluster,lat,lon,easting,northing,azimuth_display_deg,azimuth_display_source,azimuth_prefer,azimuth_eye_deg,azimuth_deg,azimuth_lidar_deg,azimuth_lidar_conf,delta_display_vs_nhle,delta_display_vs_lidar,azimuth_prefer_note
ST94NW101,Middleton Down long barrow,certain,earthen,Wiltshire chalk,51.212846,-2.118089,391848.0,145967.0,126.0,eye,eye,126.0,120.7,122.2,0.613,5.3,3.8,
SU14NE101,North of Milston Firs,certain,earthen,Stonehenge / Salisbury Plain,51.212802,-1.729872,418965.0,145990.0,32.0,eye,eye,32.0,46.0,,0.585,14.0,,
SU24NW102,SU24NW102,certain,earthen,Stonehenge / Salisbury Plain,51.215088,-1.690615,421706.0,146255.0,71.0,eye,eye,71.0,,69.6,0.698,,1.4,
SU24NW101,SU24NW101,certain,earthen,Stonehenge / Salisbury Plain,51.215781,-1.69084,421690.0,146332.0,67.5,eye,eye,67.5,,,0.572,,,
SU14NW110,North of Robin Hood Ball Clump,certain,earthen,Stonehenge / Salisbury Plain,51.218676,-1.845528,410885.0,146620.0,100.5,eye,eye,100.5,178.9,,0.084,78.4,,
SU14NW103,Northeast of Robin Hood Ball Clump,certain,earthen,Stonehenge / Salisbury Plain,51.21916,-1.837738,411429.0,146675.0,157.5,eye,eye,157.5,147.5,,0.409,10.0,,
ST94NW100,Bowls,certain,earthen,Wiltshire chalk,51.220069,-2.084373,394204.0,146767.0,88.5,eye,eye,88.5,89.7,88.5,0.662,1.2,0.0,
SU04NW101,Tilshead Down,certain,earthen,Stonehenge / Salisbury Plain,51.220725,-1.968406,402303.0,146837.0,65.0,eye,eye,65.0,70.7,65.0,0.952,5.7,0.0,
SU04NW100,Whitebarrow,certain,earthen,Stonehenge / Salisbury Plain,51.22081,-1.954473,403276.0,146847.0,91.7,lidar,lidar,,4.0,91.7,0.838,87.7,0.0,
SU14NW104,Northeast of Robin Hood Ball Clump 2,certain,earthen,Stonehenge / Salisbury Plain,51.220909,-1.840538,411233.0,146869.0,64.0,eye,eye,64.0,62.9,,0.498,1.1,,
ST84NE100,Colloway Clump long barrow,certain,earthen,Wiltshire chalk,51.222583,-2.182164,387375.0,147059.0,16.0,eye,eye,16.0,10.4,127.5,0.805,5.6,68.5,
ST94NW103,Oxendean Down long barrow,certain,earthen,Wiltshire chalk,51.223729,-2.140169,390308.0,147180.0,109.7,nhle,nhle,,109.7,170.0,0.861,0.0,60.3,
SU04NW102,Northwest of Tilshead Lodge,certain,earthen,Stonehenge / Salisbury Plain,51.226876,-1.971208,402107.0,147521.0,89.0,eye,eye,89.0,82.0,85.1,0.849,7.0,3.9,
SU04NW103,Kill,certain,earthen,Stonehenge / Salisbury Plain,51.230252,-2.001053,400023.0,147896.0,140.5,eye,eye,140.5,,109.6,0.959,,30.9,
ST94NE100,Long barrow south-west of Imber,certain,earthen,Wiltshire chalk,51.23272,-2.055851,396197.0,148172.0,143.0,eye,eye,143.0,144.5,,0.021,1.5,,
SU14NE100,Sheer Barrow,certain,earthen,Stonehenge / Salisbury Plain,51.233,-1.759903,416860.0,148229.0,67.5,eye,eye,67.5,,,0.251,,,
SU04NE100,East Down,certain,earthen,Stonehenge / Salisbury Plain,51.244348,-1.915985,405961.0,149467.0,120.5,eye,eye,120.5,131.6,120.5,0.69,11.1,0.0,
SU05SE100,Ell Barrow,certain,earthen,Stonehenge / Salisbury Plain,51.261426,-1.896706,407304.0,151368.0,74.0,eye,eye,74.0,68.4,,0.616,5.6,,
ST95SW100,ST95SW100,certain,earthen,Wiltshire chalk,51.263423,-2.14416,390038.0,151595.0,92.0,eye,eye,92.0,,94.2,0.684,,2.2,
SU15SE100,Southeast of Comesdeane Well,certain,earthen,Stonehenge / Salisbury Plain,51.263763,-1.716402,419884.0,151661.0,16.5,eye,eye,16.5,,28.9,0.77,,12.4,
ST95SW102,"Long barrow, Tinhead Hill",certain,earthen,Wiltshire chalk,51.270672,-2.088924,393893.0,152395.0,64.3,nhle,nhle,,64.3,47.4,0.889,0.0,16.9,
SU25NE103,SU25NE103,certain,earthen,North Wiltshire chalk,51.309104,-1.633402,425650.0,156729.0,76.0,eye,eye,76.0,,75.9,0.686,,0.1,
SU25NE102,SU25NE102,certain,earthen,North Wiltshire chalk,51.31678,-1.581642,429253.0,157602.0,167.0,eye,eye,167.0,,167.0,0.817,,0.0,
SU25NE101,Tow,certain,earthen,North Wiltshire chalk,51.31813,-1.607889,427423.0,157742.0,11.5,eye,eye,11.5,,,0.405,,,
SU25NE100,SU25NE100,certain,earthen,North Wiltshire chalk,51.337812,-1.57924,429407.0,159942.0,173.0,eye,eye,173.0,,172.9,0.818,,0.1,
SU16SW102,Adam's Grave,certain,cotswold_severn,Avebury / Pewsey,51.369416,-1.839909,411241.0,163385.0,136.0,eye,eye,136.0,116.7,,0.389,19.3,,
SU06SE101,Kitchen,certain,earthen,Avebury / Pewsey,51.382183,-1.905359,406683.0,164797.0,43.5,eye,eye,43.5,18.3,35.5,0.737,25.2,8.0,
SU16NE102,West Woods,certain,earthen,Avebury / Pewsey,51.389453,-1.776001,415683.0,165625.0,90.0,eye,eye,90.0,174.4,,0.017,84.4,,
SU06NE115,Horton Down,certain,earthen,Avebury / Pewsey,51.391199,-1.89104,407678.0,165801.0,97.7,lidar,lidar,,147.6,97.7,0.845,49.9,0.0,
SU06NW107,Kings Play Hill,certain,earthen,Avebury / Pewsey,51.392912,-1.986053,401067.0,165986.0,43.5,eye,eye,43.5,42.1,,0.062,1.4,,
SU06NE106,Easton Down,certain,earthen,Avebury / Pewsey,51.39384,-1.90979,406373.0,166093.0,76.5,eye,eye,76.5,143.5,43.7,0.754,67.0,32.8,
SU16NW101,East Kennet,certain,cotswold_severn,Avebury / Pewsey,51.400519,-1.834194,411631.0,166845.0,139.0,eye,eye,139.0,146.1,,0.454,7.1,,
SU06NE108,Beckhampton Road,certain,earthen,Avebury / Pewsey,51.408592,-1.905721,406654.0,167734.0,53.3,nhle,nhle,,53.3,68.8,0.723,0.0,15.5,
SU16NW100,West Kennet,certain,cotswold_severn,Avebury / Pewsey,51.408572,-1.851087,410454.0,167738.0,84.5,eye,eye,84.5,85.2,84.4,0.917,0.7,0.1,
SU06NE107,Long Stones,certain,earthen,Avebury / Pewsey,51.421234,-1.876228,408703.0,169143.0,48.5,eye,eye,48.5,53.8,44.4,0.744,5.3,4.1,
SU06NE105,South Street,certain,earthen,Avebury / Pewsey,51.422443,-1.872068,408992.0,169278.0,68.9,lidar,lidar,,132.6,68.9,0.862,63.7,0.0,
SU06NW105,Oldbury,certain,earthen,Avebury / Pewsey,51.422746,-1.933866,404695.0,169306.0,88.0,eye,eye,88.0,75.2,,0.101,12.8,,
ST87SE101,Lanhill Barrow: a long barrow 300m south of Sparrow Farm,certain,cotswold_severn,North Wiltshire chalk,51.471282,-2.177972,387735.0,174717.0,90.5,eye,eye,90.5,94.0,100.6,0.935,3.5,10.1,
ST77NE100,Long barrow 400m north-west of Fox Covert,certain,earthen,North Wiltshire chalk,51.499761,-2.317116,378084.0,177917.0,36.5,eye,eye,36.5,48.7,,0.292,12.2,,
ST87NW100,Long barrow 500m north of Lugbury Farm,certain,cotswold_severn,North Wiltshire chalk,51.505679,-2.245377,383066.0,178556.0,93.5,eye,eye,93.5,97.4,,0.306,3.9,,
SU27NW103,SU27NW103,certain,earthen,North Wiltshire chalk,51.516336,-1.677123,422501.0,179762.0,139.0,eye,eye,139.0,,,0.535,,,
ST88SW101,Long barrow 600m north of Hebden Farm,certain,earthen,North Wiltshire chalk,51.544024,-2.259369,382110.0,182824.0,143.5,eye,eye,143.5,89.5,,0.016,54.0,,
NHLE1010394,Giant's Cave: a chambered long barrow 750m south west of Allengrove Farm,certain,cotswold_severn,North Wiltshire chalk,51.545301,-2.260985,381998.4,182966.3,99.5,eye,eye,99.5,98.3,,0.018,1.2,,
SU13SE108,SU13SE108,possible,earthen,Stonehenge / Salisbury Plain,51.089629,-1.74581,417899.0,132288.0,148.0,eye,eye,148.0,,100.3,0.567,,47.7,
SU23SW600,SU23SW600,possible,earthen,Stonehenge / Salisbury Plain,51.09502,-1.701927,420970.0,132899.0,156.0,eye,eye,156.0,,7.5,0.712,,31.5,
SU13SE604,'Ende Burgh' long barrow,possible,earthen,Stonehenge / Salisbury Plain,51.105442,-1.774504,415884.0,134040.0,23.5,eye,eye,23.5,30.9,11.1,0.497,7.4,12.4,
ST94SW103,Long barrow 250m east of Polebridge Farm,possible,earthen,Wiltshire chalk,51.172777,-2.128285,391128.0,141512.0,51.5,eye,eye,51.5,40.3,39.9,0.763,11.2,11.6,
SU14SW11B,North of West Amesbury,possible,earthen,Stonehenge / Salisbury Plain,51.176514,-1.798548,414179.0,141939.0,157.5,eye,eye,157.5,,,0.296,,,2026-09-08 re-review: LiDAR chip unclear; aerial cropmarks + Roberts IA 47 NNW-SSE (midpoint 157.5°). HER MWI12478 = probable Neolithic long barrow.
SU14SE600,South of Woodhenge,possible,earthen,Stonehenge / Salisbury Plain,51.187442,-1.784836,415134.0,143157.0,109.5,eye,eye,109.5,,,0.288,,,
SU24NW629,SU24NW629,possible,earthen,Stonehenge / Salisbury Plain,51.218648,-1.697163,421247.0,146649.0,143.0,eye,eye,143.0,,,0.234,,,
SU24NW678,SU24NW678,possible,earthen,Stonehenge / Salisbury Plain,51.224821,-1.709839,420359.0,147332.0,118.0,eye,eye,118.0,,,0.017,,,
SU26NE100,SU26NE100,possible,earthen,North Wiltshire chalk,51.391775,-1.625225,426173.0,165926.0,36.5,eye,eye,36.5,,,0.47,,,
SU06NW106,West of Oldbury,possible,earthen,Avebury / Pewsey,51.422937,-1.93762,404434.0,169327.0,99.5,eye,eye,99.5,,,0.042,,,
ST98NW635,ST98NW635,possible,earthen,North Wiltshire chalk,51.576644,-2.130446,391057.0,186428.0,18.0,eye,eye,18.0,,,0.021,,,
